asofdate,cusip,spread,Cpr1,Cpr3,Cpr6,Cpr12,Cpr24,CprLife,SMM,DayCount,OBal,CBal,pbal,paydown,Prepay,factor,OCoupon,Coupon,OWac,Wac,Wam,Age,aols,waols,ONLoans,cnloans,PCNLoans,PPNLoans,OSato,CSato,oltv,cltv,%cltv_80,%cltv_105,%cltv_125,%ccltv_80,%ccltv_105,%ccltv_125,fico,%FedHold,%CMOHold,dti,codti,%CashWindow,%Majors,ocltv,ccltv,PurpPct_purchase,PurpPct_refi,PctChannel_Broker,PctChannel_Corr,PctChannel_Retail,OccPct_investor,OccPct_owner,PropUnitsPct_2-4,StatePct_AK,StatePct_AL,StatePct_AR,StatePct_AZ,StatePct_CA,StatePct_CO,StatePct_CT,StatePct_DC,StatePct_DE,StatePct_FL,StatePct_GA,StatePct_GU,StatePct_HI,StatePct_IA,StatePct_ID,StatePct_IL,StatePct_IN,StatePct_KS,StatePct_KY,StatePct_LA,StatePct_MA,StatePct_MD,StatePct_ME,StatePct_MI,StatePct_MN,StatePct_MO,StatePct_MS,StatePct_MT,StatePct_NC,StatePct_ND,StatePct_NE,StatePct_NH,StatePct_NJ,StatePct_NM,StatePct_NV,StatePct_NY,StatePct_OH,StatePct_OK,StatePct_OR,StatePct_PA,StatePct_PR,StatePct_RI,StatePct_SC,StatePct_SD,StatePct_TN,StatePct_TX,StatePct_UT,StatePct_VA,StatePct_VI,StatePct_VT,StatePct_WA,StatePct_WI,StatePct_WV,StatePct_WY,poolno,SellerPct_AMRHT,SellerPct_ALS,SellerPct_CAFULL,SellerPct_CNTL,SellerPct_CITIZ,SellerPct_53,SellerPct_FIR,SellerPct_FRDOM,SellerPct_GUILD,SellerPct_CHASE,SellerPct_LLSL,SellerPct_MATRX,SellerPct_NCM,SellerPct_NATIONST,SellerPct_NRESM,SellerPct_PNYMAC,SellerPct_PILOSI,SellerPct_QUICK,SellerPct_REG,SellerPct_RMSC,SellerPct_UNSHFI,SellerPct_WFHM,Seasonality
2019-10-01,3140JWP95,64.6,3.9854,,,,,3.9854,0.3383,22.0,97766790.0,97292257.77,0.0,474532.23,330300.0286,99.5146284,3.5,3.5,4.256,4.256,345.0,2.0,132121.0,132121.0,740.0,740.0,0.0,,64.0,64.0,74.0,73.0456,0.0,0.0,0.0,0.0,0.0,0.0,738.0,,0.0,36.0,36.0,0.0,0.0,74.0,73.0456,53.64,46.36,0.0,44.41,55.59,4.7,90.08,1.07,0.27,1.47,0.89,4.71,5.8,1.27,1.36,0.15,0.0,8.9,5.54,0.0,0.0,1.36,0.92,4.42,2.27,1.19,0.8,0.15,0.64,0.8,0.14,3.93,3.96,3.44,0.52,0.6,4.57,0.0,2.25,0.39,2.92,0.91,1.1,0.69,4.2,1.21,0.66,4.73,0.0,0.13,3.74,0.76,1.35,6.82,1.06,2.48,0.0,0.14,1.82,2.02,0.42,0.14,BO2247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,10
2019-11-01,3140JWP95,60.8,2.1594,,,,,3.0764,0.1818,19.0,97766790.0,96971428.61,97292257.77,320829.16,176574.7534,99.1864707,3.5,3.5,4.256,4.255,344.0,3.0,132110.0,132110.0,740.0,739.0,740.0,1.0,64.0,64.0,74.0,72.7424,0.0,0.0,0.0,0.0,0.0,0.0,738.0,,0.0,36.0,36.0,0.0,0.0,74.0,72.7424,53.58,46.42,0.0,44.34,55.66,4.71,90.06,1.07,0.27,1.47,0.89,4.72,5.81,1.27,1.36,0.15,0.0,8.91,5.4,0.0,0.0,1.36,0.92,4.43,2.27,1.19,0.81,0.15,0.64,0.8,0.14,3.93,3.96,3.45,0.52,0.6,4.57,0.0,2.25,0.39,2.92,0.91,1.1,0.69,4.21,1.22,0.66,4.73,0.0,0.13,3.75,0.76,1.35,6.83,1.06,2.48,0.0,0.14,1.83,2.02,0.42,0.14,BO2247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,11
2019-12-01,3140JWP95,56.6,7.0120000000000005,4.4068,,,,4.4068,0.604,21.0,97766790.0,96242064.49,96971428.61,729364.12,584837.1413,98.4404463,3.5,3.5,4.256,4.256,343.0,4.0,132106.0,132106.0,740.0,735.0,739.0,4.0,64.0,64.0,74.0,72.3516,0.0,0.0,0.0,0.0,0.0,0.0,738.0,,0.0,36.0,36.0,0.0,0.0,74.0,72.3516,53.72,46.28,0.0,44.46,55.54,4.74,90.0,1.08,0.27,1.48,0.89,4.62,5.84,1.28,1.37,0.15,0.0,8.97,5.15,0.0,0.0,1.37,0.93,4.45,2.27,1.19,0.81,0.15,0.65,0.81,0.14,3.95,3.86,3.47,0.52,0.6,4.59,0.0,2.27,0.39,2.94,0.92,1.11,0.7,4.23,1.22,0.66,4.73,0.0,0.14,3.77,0.76,1.36,6.86,1.06,2.5,0.0,0.14,1.84,2.04,0.43,0.14,BO2247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,100.0,12
2019-10-01,3140QCB21,38.1,1.0942,,,,,1.0942,0.0916,22.0,229352735.0,228810281.8,0.0,542453.2,209886.0781,99.7634851,3.5,3.5,3.991,3.991,358.0,1.0,139408.0,139408.0,1646.0,1646.0,0.0,,39.0,39.0,75.0,74.5674,0.0,0.0,0.0,0.0,0.0,0.0,746.0,,0.0,35.0,35.0,100.0,0.0,75.0,74.5674,56.17,43.83,10.59,29.16,60.25,6.5,87.97,1.04,0.06,1.13,0.9,4.74,3.98,1.8,0.87,0.07,0.25,6.18,3.68,0.0,0.06,1.34,1.62,4.86,3.92,0.67,1.57,0.84,1.27,0.83,0.41,6.82,3.77,3.71,0.61,0.63,3.71,0.06,1.88,0.5,1.71,0.36,1.21,0.0,4.29,1.05,1.37,3.4,0.12,0.13,2.84,0.72,2.15,7.04,1.36,1.33,0.0,0.12,2.04,5.36,0.24,0.42,CA4556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,10
2019-11-01,3140QCB21,34.5,3.4247,,,,,2.2582,0.29,19.0,229352735.0,227814389.59,228810281.8,995892.21,662524.4003,99.3292665,3.5,3.5,3.991,3.991,356.0,2.0,139411.0,139411.0,1646.0,1644.0,1646.0,2.0,39.0,39.0,75.0,74.0867,0.0,0.0,0.0,0.0,0.0,0.0,746.0,,0.0,35.0,35.0,100.0,0.0,75.0,74.0867,56.16,43.85,10.62,29.18,60.2,6.51,87.95,1.04,0.06,1.13,0.9,4.7,3.99,1.8,0.87,0.07,0.25,6.2,3.69,0.0,0.06,1.35,1.62,4.87,3.93,0.68,1.58,0.85,1.27,0.83,0.41,6.84,3.78,3.66,0.61,0.62,3.71,0.06,1.82,0.5,1.71,0.36,1.21,0.0,4.3,1.03,1.37,3.41,0.12,0.13,2.85,0.72,2.16,7.06,1.36,1.33,0.0,0.12,2.04,5.38,0.24,0.37,CA4556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,11
2019-12-01,3140QCB21,30.1,2.9457,2.4879,,,,2.4879,0.2489,21.0,229352735.0,226913192.02,227814389.59,901197.57,566092.52,98.9363357,3.5,3.5,3.991,3.991,355.0,3.0,139404.0,139404.0,1646.0,1641.0,1644.0,3.0,39.0,39.0,75.0,73.6869,0.0,0.0,0.0,0.0,0.0,0.0,746.0,,0.0,35.0,35.0,100.0,0.0,75.0,73.6869,56.06,43.94,10.64,29.08,60.28,6.52,87.92,1.04,0.06,1.14,0.91,4.71,3.93,1.81,0.87,0.07,0.25,6.09,3.7,0.0,0.06,1.35,1.63,4.88,3.94,0.68,1.58,0.85,1.27,0.83,0.41,6.85,3.79,3.67,0.61,0.63,3.72,0.06,1.83,0.5,1.72,0.36,1.22,0.0,4.3,1.03,1.37,3.42,0.12,0.13,2.85,0.72,2.16,7.08,1.37,1.33,0.0,0.12,2.04,5.36,0.24,0.37,CA4556,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,12
2019-10-01,3140QCC38,191.2,2.4868,,,,,2.4868,0.2096,22.0,106758654.0,106418061.82,0.0,340592.18,223558.5323,99.68096990000001,5.0,5.0,5.523,5.522,358.0,2.0,337569.0,337569.0,316.0,316.0,0.0,,191.0,191.0,72.0,71.3646,0.0,0.0,0.0,0.0,0.0,0.0,734.0,,0.0,38.0,38.0,100.0,0.0,72.0,71.3646,55.97,44.03,10.05,23.1,66.85,100.0,0.0,31.06,0.0,0.0,0.56,3.49,33.5,7.46,1.06,1.61,0.45,3.88,1.57,0.0,1.2,0.0,1.76,1.61,0.72,0.28,0.0,0.75,5.37,0.62,0.61,0.24,0.5,0.22,0.0,0.92,1.32,0.0,0.0,0.0,5.81,0.0,5.29,0.72,0.28,0.0,1.55,0.88,0.0,0.96,0.78,0.0,1.38,4.8,1.19,2.12,0.0,0.0,4.54,0.0,0.0,0.0,CA4589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,10
2019-11-01,3140QCC38,187.8,10.145,,,,,6.3876,0.8875,19.0,106758654.0,105357334.4,106418061.82,1060727.42,943401.7414,98.68739479999999,5.0,5.0,5.523,5.524,356.0,3.0,337945.0,337945.0,316.0,313.0,316.0,3.0,191.0,191.0,72.0,71.0456,0.0,0.0,0.0,0.0,0.0,0.0,733.0,,100.0,38.0,38.0,100.0,0.0,72.0,71.0456,55.8,44.2,10.14,22.79,67.07,100.0,0.0,31.31,0.0,0.0,0.56,3.52,32.96,7.53,1.07,1.62,0.46,3.92,1.58,0.0,1.21,0.0,1.78,1.62,0.72,0.28,0.0,0.75,5.38,0.63,0.61,0.25,0.5,0.23,0.0,0.92,1.33,0.0,0.0,0.0,5.87,0.0,5.34,0.73,0.28,0.0,1.56,0.89,0.0,0.97,0.78,0.0,1.39,4.83,1.2,2.14,0.0,0.0,4.57,0.0,0.0,0.0,CA4589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,11
2019-12-01,3140QCC38,183.0,22.9578,12.2724,,,,12.2724,2.15,21.0,106758654.0,102977209.02,105357334.4,2380125.38,2262681.7811,96.4579499,5.0,5.0,5.523,5.52,355.0,4.0,336951.0,336951.0,316.0,309.0,313.0,4.0,191.0,190.0,72.0,70.7178,0.0,0.0,0.0,0.0,0.0,0.0,733.0,,100.0,38.0,38.0,100.0,0.0,72.0,70.7178,55.54,44.46,9.9,22.64,67.46,100.0,0.0,31.85,0.0,0.0,0.56,3.6,31.87,7.69,1.1,1.66,0.47,4.0,1.62,0.0,1.0,0.0,1.81,1.65,0.74,0.28,0.0,0.77,5.36,0.64,0.63,0.25,0.52,0.23,0.0,0.95,1.36,0.0,0.0,0.0,5.99,0.0,5.46,0.74,0.3,0.0,1.6,0.91,0.0,0.99,0.8,0.0,1.42,4.94,1.22,2.18,0.0,0.0,4.67,0.0,0.0,0.0,CA4589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,12
2019-10-01,3140QCB39,63.3,0.3793,,,,,0.3793,0.0317,22.0,197005906.0,196670557.32,0.0,335348.68,62296.5699,99.82977729999999,3.5,3.5,4.244,4.244,358.0,1.0,188572.0,188572.0,1046.0,1046.0,0.0,,64.0,64.0,79.0,78.5441,0.0,0.0,0.0,0.0,0.0,0.0,735.0,,0.0,36.0,36.0,100.0,0.0,79.0,78.5441,53.63,46.37,9.42,38.84,51.74,11.16,83.71,1.28,0.09,0.88,0.47,6.37,6.94,4.05,0.74,0.2,0.19,7.66,4.87,0.1,0.1,0.28,1.34,2.62,2.1,0.57,0.28,1.06,1.14,1.92,0.28,3.54,2.48,2.41,0.19,1.27,3.52,0.09,0.39,0.46,2.13,0.95,2.5,0.0,2.34,0.86,1.53,2.27,0.0,0.38,2.2,0.28,3.17,11.28,2.52,2.18,0.0,0.1,3.26,2.96,0.19,0.28,CA4557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,10
